trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1.0}",25,9,-73.69466310489426,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 1}",1
2,False,"{'a': 0.8, 'e': 0.99203191483706066}",20,0,-140.36062504701076,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.8, 'e': 0.98412732005528514}",20,0,-103.33809969248438,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
4,False,"{'a': 0.8, 'e': 0.97628570975790929}",20,0,-73.89967671996048,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.9685065820791976}",20,0,-12.617088569373218,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.8, 'e': 0.96078943915232318}",25,0,-189.7287402211639,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
7,False,"{'a': 0.8, 'e': 0.95313378707750473}",30,0,-142.6345290596945,"{0: 20, 1: 1, 2: 4, 3: 4, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.94553913589039629}",20,12,0.9015184091329891,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.8, 'e': 0.93800499953072947}",25,0,-91.10693317280618,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.8, 'e': 0.93053089581120574}",30,8,-200.92829186721565,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 4}",1
11,False,"{'a': 0.8, 'e': 0.92311634638663576}",20,0,-107.93930686407406,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.8, 'e': 0.91576087672332562}",20,0,-171.86537184838087,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.8, 'e': 0.90846401606870619}",20,0,-77.153112861498,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.8, 'e': 0.90122529742120472}",20,0,-54.69538447510457,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.8, 'e': 0.89404425750035721}",30,0,-176.90054202319027,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
16,False,"{'a': 0.8, 'e': 0.88692043671715748}",30,0,-103.85797049795515,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.8, 'e': 0.87985337914464379}",25,0,-121.6643996232823,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
18,False,"{'a': 0.8, 'e': 0.87284263248871929}",20,0,-86.46236043767735,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.8, 'e': 0.86588774805920499}",20,4,-75.83144054367412,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 1}",1
20,False,"{'a': 0.8, 'e': 0.85898828074112343}",30,0,-68.4081328851347,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
21,False,"{'a': 0.8, 'e': 0.85214378896621135}",30,0,-98.55276130004668,"{0: 19, 1: 2, 2: 7, 3: 2, 4: 0}",0
22,False,"{'a': 0.8, 'e': 0.84535383468465874}",20,0,-58.55951146753217,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
23,False,"{'a': 0.8, 'e': 0.83861798333707405}",20,2,-71.61338109536159,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 0}",1
24,False,"{'a': 0.8, 'e': 0.83193580382667176}",20,0,-150.62987648608652,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
25,False,"{'a': 0.8, 'e': 0.82530686849168233}",20,0,-259.84895067524707,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 6}",0
26,False,"{'a': 0.8, 'e': 0.81873075307798182}",20,0,-43.08830731682498,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
27,False,"{'a': 0.8, 'e': 0.81220703671193895}",25,0,-148.0140278783788,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
28,False,"{'a': 0.8, 'e': 0.80573530187347964}",20,15,-2.7545746848892563,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.8, 'e': 0.79931513436936508}",25,0,-219.25951714297395,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
30,False,"{'a': 0.8, 'e': 0.79294612330668368}",35,0,-172.28344255862243,"{0: 19, 1: 7, 2: 6, 3: 1, 4: 2}",0
31,False,"{'a': 0.8, 'e': 0.78662786106655347}",25,0,-114.77468150984083,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
32,False,"{'a': 0.8, 'e': 0.78035994327803426}",20,0,-93.96423477713353,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
33,False,"{'a': 0.8, 'e': 0.77414196879224839}",25,0,-71.65214111770291,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
34,False,"{'a': 0.8, 'e': 0.76797353965670612}",25,0,-105.54441271287813,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
35,False,"{'a': 0.8, 'e': 0.76185426108983756}",25,0,-205.04324530413808,"{0: 12, 1: 5, 2: 3, 3: 2, 4: 3}",0
36,False,"{'a': 0.8, 'e': 0.75578374145572547}",30,0,-220.0061193841853,"{0: 19, 1: 0, 2: 5, 3: 2, 4: 4}",0
37,False,"{'a': 0.8, 'e': 0.74976159223904126}",20,0,-41.33670192402634,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
38,False,"{'a': 0.8, 'e': 0.74378742802017961}",30,0,-117.09465684313648,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
39,False,"{'a': 0.8, 'e': 0.73786086645059112}",25,0,-55.375540636168225,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
40,False,"{'a': 0.8, 'e': 0.73198152822831264}",20,0,-172.93937514003628,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
41,False,"{'a': 0.8, 'e': 0.72614903707369094}",20,0,-89.39136962943186,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
42,False,"{'a': 0.8, 'e': 0.72036301970530137}",25,0,-84.22914859077542,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
43,False,"{'a': 0.8, 'e': 0.71462310581605726}",20,0,-46.4609049166723,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
44,False,"{'a': 0.8, 'e': 0.70892892804951069}",30,0,-49.32625148731009,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
45,False,"{'a': 0.8, 'e': 0.70328012197634093}",20,0,-98.73504147886283,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
46,False,"{'a': 0.8, 'e': 0.69767632607103103}",20,9,-52.14691872618222,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
47,False,"{'a': 0.8, 'e': 0.69211718168873038}",20,0,-62.388809048586694,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
48,False,"{'a': 0.8, 'e': 0.68660233304230101}",25,0,-92.47515294210173,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
49,False,"{'a': 0.8, 'e': 0.68113142717954711}",25,15,4.08443841864304,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.8, 'e': 0.67570411396062602}",30,0,-32.029173678115484,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
51,False,"{'a': 0.8, 'e': 0.67032004603563933}",20,0,-98.04055521918733,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
52,False,"{'a': 0.8, 'e': 0.66497887882240192}",25,0,-101.47364844698357,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
53,False,"{'a': 0.8, 'e': 0.65968027048438904}",20,0,-42.49743611859652,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
54,False,"{'a': 0.8, 'e': 0.65442388190885858}",20,0,-17.017267686171053,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
55,False,"{'a': 0.8, 'e': 0.64920937668514744}",20,0,-21.854129322871863,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
56,False,"{'a': 0.8, 'e': 0.64403642108314141}",35,0,-109.94768533743294,"{0: 25, 1: 2, 2: 5, 3: 2, 4: 1}",0
57,False,"{'a': 0.8, 'e': 0.63890468403191625}",20,9,-56.09285401528189,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
58,False,"{'a': 0.8, 'e': 0.63381383709854899}",20,2,-32.604899908997766,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
59,False,"{'a': 0.8, 'e': 0.62876355446709842}",20,7,-49.936689624218246,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 1}",1
60,False,"{'a': 0.8, 'e': 0.62375351291775205}",20,0,-50.17008002007662,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
61,False,"{'a': 0.8, 'e': 0.61878339180614084}",30,13,6.376338033663027,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.8, 'e': 0.6138528730428171}",30,0,-74.99256391091201,"{0: 22, 1: 1, 2: 5, 3: 2, 4: 0}",0
63,False,"{'a': 0.8, 'e': 0.60896164107289685}",35,0,-6.452705626537293,"{0: 29, 1: 3, 2: 3, 3: 0, 4: 0}",0
64,False,"{'a': 0.8, 'e': 0.60410938285586468}",20,0,-69.16784159158149,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
65,False,"{'a': 0.8, 'e': 0.59929578784553839}",20,0,-37.0997581487902,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
66,False,"{'a': 0.8, 'e': 0.59452054797019438}",20,0,-59.44020033291016,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
67,False,"{'a': 0.8, 'e': 0.58978335761285039}",25,0,-195.86872193661878,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
68,False,"{'a': 0.8, 'e': 0.58508391359170686}",20,0,-129.80520184388362,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
69,False,"{'a': 0.8, 'e': 0.58042191514074237}",20,0,-14.429702111838507,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
70,False,"{'a': 0.8, 'e': 0.57579706389046448}",20,0,-61.69943118494659,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
71,False,"{'a': 0.8, 'e': 0.57120906384881487}",20,4,-0.521981460534491,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.8, 'e': 0.56665762138222464}",20,0,-102.75550811193212,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
73,False,"{'a': 0.8, 'e': 0.56214244519682244}",30,2,-71.97054400561393,"{0: 22, 1: 0, 2: 4, 3: 1, 4: 1}",1
74,False,"{'a': 0.8, 'e': 0.55766324631979125}",25,12,11.995031318046099,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.8, 'e': 0.55321973808087388}",25,12,-5.715265946808836,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.8, 'e': 0.5488116360940265}",30,0,-165.46475825610366,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 4}",0
77,False,"{'a': 0.8, 'e': 0.54443865823921711}",25,0,2.922428976019765,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
78,False,"{'a': 0.8, 'e': 0.54010052464437064}",20,2,-41.41919244026948,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
79,False,"{'a': 0.8, 'e': 0.53579695766745605}",30,9,15.40362503311924,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.8, 'e': 0.53152768187871791}",20,0,4.382454187467477,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
81,False,"{'a': 0.8, 'e': 0.52729242404304855}",25,10,-99.83070833731485,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 2}",1
82,False,"{'a': 0.8, 'e': 0.52309091310250078}",25,12,-72.65877046616228,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
83,False,"{'a': 0.8, 'e': 0.51892288015894039}",25,0,-46.57976138101418,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
84,False,"{'a': 0.8, 'e': 0.51478805845683617}",30,0,-82.94769397604134,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
85,False,"{'a': 0.8, 'e': 0.51068618336618787}",20,9,8.919334465518014,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.8, 'e': 0.50661699236558955}",20,1,-61.03172885140579,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 1}",1
87,False,"{'a': 0.8, 'e': 0.50258022502542832}",30,0,-73.62444145499157,"{0: 23, 1: 3, 2: 1, 3: 2, 4: 1}",0
88,False,"{'a': 0.8, 'e': 0.49857562299121649}",25,0,-101.65365796055295,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
89,False,"{'a': 0.8, 'e': 0.49460292996705701}",30,0,-142.2320909338911,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
90,False,"{'a': 0.8, 'e': 0.49066189169924013}",25,0,-33.108689254348505,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
91,False,"{'a': 0.8, 'e': 0.48675225595997168}",30,6,-11.72489849771138,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 0}",1
92,False,"{'a': 0.8, 'e': 0.48287377253122976}",25,0,-68.96962628522448,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
93,False,"{'a': 0.8, 'e': 0.47902619318875111}",25,0,-103.984691194197,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
94,False,"{'a': 0.8, 'e': 0.47520927168614446}",20,0,-43.82335088906771,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
95,False,"{'a': 0.8, 'e': 0.47142276373913089}",30,0,-11.630232962952888,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",0
96,False,"{'a': 0.8, 'e': 0.46766642700990924}",20,5,-18.150169758749836,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
97,False,"{'a': 0.8, 'e': 0.46394002109164673}",20,0,9.29013893985319,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
98,False,"{'a': 0.8, 'e': 0.46024330749309256}",35,0,-33.83687562261668,"{0: 31, 1: 0, 2: 2, 3: 1, 4: 1}",0
99,False,"{'a': 0.8, 'e': 0.45657604962331472}",20,0,-56.05715861218936,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
100,False,"{'a': 0.8, 'e': 0.45293801277655771}",30,0,-23.699004613659792,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",1
101,False,"{'a': 0.8, 'e': 0.44932896411722156}",20,0,-39.39268705719029,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
102,False,"{'a': 0.8, 'e': 0.44574867266496021}",20,0,-55.65971810652818,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
103,False,"{'a': 0.8, 'e': 0.44219690927989863}",20,9,-37.993174947023576,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
104,False,"{'a': 0.8, 'e': 0.43867344664796781}",20,9,-2.341376399727862,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.8, 'e': 0.43517805926635666}",30,2,-16.158924385161402,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 0}",1
106,False,"{'a': 0.8, 'e': 0.43171052342907973}",20,1,-115.49910866527179,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 2}",1
107,False,"{'a': 0.8, 'e': 0.42827061721265969}",20,14,9.546816545610943,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.8, 'e': 0.42485812046192456}",20,0,-56.19991342601695,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
109,False,"{'a': 0.8, 'e': 0.42147281477591764}",35,18,-20.454496085282152,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
110,False,"{'a': 0.8, 'e': 0.41811448349391933}",25,0,0.17034689371980272,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
111,False,"{'a': 0.8, 'e': 0.41478291168158138}",25,0,-8.40592016102305,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
112,False,"{'a': 0.8, 'e': 0.41147788611717057}",20,3,-15.480391330795438,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
113,False,"{'a': 0.8, 'e': 0.4081991952779227}",25,0,-82.39345617691312,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
114,False,"{'a': 0.8, 'e': 0.40494662932650488}",20,0,-117.83942486984189,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
115,False,"{'a': 0.8, 'e': 0.40171998009758603}",25,18,1.128407083026377,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.8, 'e': 0.39851904108451414}",20,8,-0.06904117087771855,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
117,False,"{'a': 0.8, 'e': 0.39534360742609981}",30,8,-20.406555444031678,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
118,False,"{'a': 0.8, 'e': 0.39219347589350495}",25,6,15.78892044021438,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.8, 'e': 0.3890684448772363}",25,0,21.07998730857287,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.8, 'e': 0.38596831437424212}",25,12,-68.33139503042507,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 2}",1
121,False,"{'a': 0.8, 'e': 0.38289288597511206}",20,2,29.620668244846573,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.8, 'e': 0.37984196285137872}",20,4,2.63727092574704,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.8, 'e': 0.37681534974292086}",25,0,-14.909764038462324,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
124,False,"{'a': 0.8, 'e': 0.37381285294546651}",30,19,-28.828918881433992,"{0: 9, 1: 0, 2: 0, 3: 2, 4: 0}",1
125,False,"{'a': 0.8, 'e': 0.37083428029819565}",20,14,10.94134233202318,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.8, 'e': 0.36787944117144233}",20,0,-26.61779892812005,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
127,False,"{'a': 0.8, 'e': 0.36494814645449375}",30,0,-24.47686545462588,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
128,False,"{'a': 0.8, 'e': 0.36204020854348745}",25,0,-24.786481805564232,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
